San Francisco,San Jose,Sacramento,Oakland,Walnut Creek,Association,Association Pool,BARI,BERD,CCRD,EBRD,MLS,MLSL,SACM,Week or Weekend,# of Rooms_n,# of Units_n,Association Total_n,Bathrooms_n,Bedrooms_n,Selling Date_n,DOM_n,Latitude_n,Longitude_n,On Market Date_n,Days_Between_n,Date of Week_n,Square Footage_n,Selling Price_n,SP%LP_n
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26666666666666666,0.00029850746268656717,0.049595141700404854,0.375,0.375,0.9589041095890423,0.1413793103448276,0.9510795208196572,0.01103223810763243,0.9504048582995956,0.04652466367713005,0.6666666666666666,0.49409645787472484,0.2308121285511703,0.5196692964443964
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3,0.0016417910447761195,0.06578947368421052,0.375,0.5,0.17808219178081686,0.0,0.9505422846422077,0.012211751996919595,0.8481781376518214,0.00616591928251121,0.8333333333333334,0.49389633780268155,0.13521135737161613,0.5709499621744298
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.13333333333333333,0.06253731343283582,0.2950404858299595,0.375,0.375,0.20547945205478868,0.0,0.951063867055551,0.011307004849933855,0.8532388663967616,0.0,0.16666666666666666,0.49289573744246545,0.25471232134605887,0.49048957094996215
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.23333333333333334,0.006417910447761194,0.03431174089068826,0.5,0.5,0.5917808219178085,0.027586206896551724,0.9490170744816163,0.015616064678838915,0.9033400809716596,0.024103139013452915,0.33333333333333337,0.492495497298379,0.07785089466388363,0.531881551929104
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.00044776119402985075,0.03674089068825911,0.25,0.5,0.6958904109589099,0.02586206896551724,0.9508872211226557,0.010810437572277065,0.9256072874493917,0.020179372197309416,0.6666666666666666,0.49069441664999,0.18380841605455617,0.5176159083540474
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.033400809716599186,0.25,0.375,0.22465753424657464,0.01206896551724138,0.9691037731812867,0.02196752632724197,0.8410931174089065,0.01961883408071749,0.8333333333333334,0.4904942965779468,0.06031611988336706,0.5367988760402032
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.3,0.009850746268656717,0.04048582995951417,0.375,0.5,0.09589041095890138,0.10172413793103448,0.9490585494064504,0.015576378393231893,0.7879554655870429,0.04988789237668161,0.8333333333333334,0.4902941765059035,0.07227418301174297,0.5168053604236463
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.04149253731343284,0.14453441295546557,0.375,0.5,0.9972602739726,0.3931034482758621,0.9510217377933103,0.011338653713562574,0.8729757085020253,0.1412556053811659,0.8333333333333334,0.49009405643386034,0.3662465543888721,0.49405598184372634
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.00044776119402985075,0.039170040485829956,0.375,0.375,0.7452054794520535,0.06896551724137931,0.9509337797458008,0.010942445160184944,0.9170040485829958,0.04091928251121076,0.16666666666666666,0.4892935761456874,0.18480425742100987,0.499459634713066
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2,0.0029850746268656717,0.10323886639676112,0.25,0.375,0.7095890410958958,0.3568965517241379,0.9502159716110178,0.010899245026778304,0.8233805668016174,0.13789237668161436,0.8333333333333334,0.48889333600160095,0.1471614537690604,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.10323886639676112,0.25,0.375,0.7095890410958958,0.3189655172413793,0.9502195201331063,0.010915917628751437,0.8299595141700387,0.13060538116591927,0.6666666666666666,0.48889333600160095,0.1471614537690604,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.09716417910447761,0.1478744939271255,0.375,0.375,0.9178082191780845,0.3017241379310345,0.9510217377933103,0.011338653713562574,0.8896761133603235,0.1070627802690583,0.5,0.4882929757854712,0.33437963066235404,0.5008105479304009
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.06831983805668015,0.375,0.5,0.5534246575342507,0.01206896551724138,0.9209144657189108,0.015149983060022354,0.895748987854251,0.024103139013452915,0.16666666666666666,0.48469081448869317,0.07546087538439478,0.5367988760402032
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3,0.00029850746268656717,0.07186234817813765,0.375,0.625,0.5013698630136929,0.041379310344827586,0.9509900527627484,0.010809629791173836,0.8871457489878551,0.02298206278026906,0.8333333333333334,0.48268961376826097,0.25072895588024413,0.5641953960877553
