San Francisco,San Jose,Sacramento,Oakland,Walnut Creek,Association,Association Pool,BARI,BERD,CCRD,EBRD,MLS,MLSL,SACM,Week or Weekend,# of Rooms_n,# of Units_n,Association Total_n,Bathrooms_n,Bedrooms_n,Selling Date_n,DOM_n,Latitude_n,Longitude_n,On Market Date_n,Days_Between_n,Date of Week_n,Square Footage_n,Selling Price,SP%LP_n,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.166666667,0,0.009008097,0.25,0.375,0.383561644,0.05862069,0.953713858,0.026017159,0.839574899,0.095852018,0.333333333,0.447268361,1040000,0.465200476,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000298507,0.039473684,0.375,0.375,1,0,0.95049034,0.010875698,0.988360324,0.016255605,0.333333333,0.4456674,2625000,0.521776721,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008358209,0.057793522,0.375,0.375,0.15890411,0.015517241,0.953559988,0.013433852,0.824898785,0.021860987,0.166666667,0.44526716,2360000,0.55090241,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0,0.375,0.375,0.857534247,0,0.95133202,0.011100399,0.960020243,0.015134529,0.333333333,0.4436662,4300000,0.507132822,0,0,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.034412955,0.5,0.375,0.879452055,0.029310345,0.973995449,0.020506864,0.939271255,0.043721973,0.5,0.4436662,345000,0.521560575,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2,0,0,0.375,0.5,0.043835616,0.04137931,0.950945507,0.012232892,0.800101215,0.041479821,0.166666667,0.442465479,1115000,0.60196693,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.133333333,0.08880597,0.18340081,0.375,0.375,0.715068493,0.144827586,0.950755322,0.011330148,0.904352227,0.04764574,0.666666667,0.441664999,2089000,0.534205123,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.042510121,0.375,0.375,0.78630137,0.00862069,0.947499641,0.022868477,0.92611336,0.038116592,0.833333333,0.441264759,439500,0.536798876,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.266666667,0.009552239,0.03208502,0.375,0.375,0.868493151,0.053448276,0.950836636,0.012153511,0.939777328,0.040919283,0.666666667,0.441064639,1223148,0.536798876,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.233333333,0,0.034412955,0.5,0.5,0.460273973,0.025862069,0.949022536,0.015619207,0.881578947,0.028026906,0.166666667,0.439863918,970000,0.528585324,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.233333333,0.010149254,0.029149798,0.5,0.5,0.01369863,0.184482759,0.949019465,0.015627899,0.741396761,0.084641256,0.666666667,0.439863918,915000,0.51696747,0,0,0,0,1,0,0
